minimum length: 100
maximum length: 4476411
[2320000,2330000]: 5.12557662737058e-10
[2340000,2350000]: 5.12557662737058e-10
[2360000,2370000]: 5.12557662737058e-10
[2370000,2380000]: 1.025115325474116e-09
[2380000,2390000]: 5.12557662737058e-10
[2420000,2430000]: 5.12557662737058e-10
[2490000,2500000]: 5.12557662737058e-10
[2500000,2510000]: 5.12557662737058e-10
[2520000,2530000]: 5.12557662737058e-10
[2550000,2560000]: 5.12557662737058e-10
[2570000,2580000]: 5.12557662737058e-10
[2620000,2630000]: 5.12557662737058e-10
[2630000,2640000]: 1.5376729882111735e-09
[2640000,2650000]: 5.12557662737058e-10
[2710000,2720000]: 1.025115325474116e-09
[2730000,2740000]: 5.12557662737058e-10
[2760000,2770000]: 5.12557662737058e-10
[2790000,2800000]: 5.12557662737058e-10
[2830000,2840000]: 5.12557662737058e-10
[2850000,2860000]: 5.12557662737058e-10
[2930000,2940000]: 5.12557662737058e-10
[2940000,2950000]: 5.12557662737058e-10
[2950000,2960000]: 5.12557662737058e-10
[2960000,2970000]: 5.12557662737058e-10
[3010000,3020000]: 1.025115325474116e-09
[3080000,3090000]: 5.12557662737058e-10
[3110000,3120000]: 5.12557662737058e-10
[3160000,3170000]: 5.12557662737058e-10
[3180000,3190000]: 5.12557662737058e-10
[3220000,3230000]: 5.12557662737058e-10
[3250000,3260000]: 5.12557662737058e-10
[3270000,3280000]: 5.12557662737058e-10
[3350000,3360000]: 5.12557662737058e-10
[3390000,3400000]: 5.12557662737058e-10
[3470000,3480000]: 5.12557662737058e-10
[3500000,3510000]: 5.12557662737058e-10
[3530000,3540000]: 5.12557662737058e-10
[3780000,3790000]: 5.12557662737058e-10
[3900000,3910000]: 5.12557662737058e-10
[4120000,4130000]: 5.12557662737058e-10
[4270000,4280000]: 5.12557662737058e-10
[4460000,4470000]: 5.12557662737058e-10
[4470000,4480000]: 5.12557662737058e-10
